#: table_doi: 10.17182/hepdata.91127.v1/t22
#: name: Efficiency SR-low dMlt100
#: description: Signal efficiency in SR-low, for signals with $m(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}) - m\widetilde{\chi}^{0}_{1} < 100$ GeV.
#: data_file: Efficiency_SR-low_dMlt100.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: EFF
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],,,,,13000
#: reaction,,,,,P P --> CHARGINO NEUTRALINO
#: region,,,,,SR-low
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV],$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] HIGH,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV],$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] HIGH,Signal Efficiency [%]
100.0,100.0,105.0,60.0,60.0,65.0,27.2
140.0,140.0,145.0,60.0,60.0,65.0,16.1
150.0,150.0,155.0,60.0,60.0,65.0,25.7
125.0,125.0,130.0,65.0,65.0,70.0,13.3
110.0,110.0,115.0,70.0,70.0,75.0,10.8
140.0,140.0,145.0,70.0,70.0,75.0,19.5
150.0,150.0,155.0,70.0,70.0,75.0,20.9
140.0,140.0,145.0,80.0,80.0,85.0,18.0
150.0,150.0,155.0,80.0,80.0,85.0,26.1
125.0,125.0,130.0,85.0,85.0,90.0,26.0
150.0,150.0,155.0,90.0,90.0,95.0,13.8
140.0,140.0,145.0,100.0,100.0,105.0,7.93
150.0,150.0,155.0,110.0,110.0,115.0,23.4
200.0,200.0,205.0,110.0,110.0,115.0,21.9
200.0,200.0,205.0,120.0,120.0,125.0,13.4
200.0,200.0,205.0,130.0,130.0,135.0,17.3
200.0,200.0,205.0,140.0,140.0,145.0,21.0
200.0,200.0,205.0,160.0,160.0,165.0,31.7
250.0,250.0,255.0,170.0,170.0,175.0,17.6
250.0,250.0,255.0,190.0,190.0,195.0,24.1
300.0,300.0,305.0,220.0,220.0,225.0,22.9
300.0,300.0,305.0,240.0,240.0,245.0,14.3
350.0,350.0,355.0,270.0,270.0,275.0,14.4
350.0,350.0,355.0,290.0,290.0,295.0,31.0

