#: table_doi: 10.17182/hepdata.91127.v1/t21
#: name: Acceptance SR-low dMlt100
#: description: Signal acceptance in SR-low, for signals with $m(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}) - m\widetilde{\chi}^{0}_{1} < 100$ GeV.
#: data_file: Acceptance_SR-low_dMlt100.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: ACC
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],,,,,13000
#: reaction,,,,,P P --> CHARGINO NEUTRALINO
#: region,,,,,SR-low
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV],$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] HIGH,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV],$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] HIGH,Signal Acceptance [$10^{-3}$]
100.0,100.0,105.0,60.0,60.0,65.0,0.00223
140.0,140.0,145.0,60.0,60.0,65.0,0.0475
150.0,150.0,155.0,60.0,60.0,65.0,0.157
125.0,125.0,130.0,65.0,65.0,70.0,0.0227
110.0,110.0,115.0,70.0,70.0,75.0,0.00375
140.0,140.0,145.0,70.0,70.0,75.0,0.0263
150.0,150.0,155.0,70.0,70.0,75.0,0.0501
140.0,140.0,145.0,80.0,80.0,85.0,0.0186
150.0,150.0,155.0,80.0,80.0,85.0,0.0176
125.0,125.0,130.0,85.0,85.0,90.0,0.00366
150.0,150.0,155.0,90.0,90.0,95.0,0.0159
140.0,140.0,145.0,100.0,100.0,105.0,0.00549
150.0,150.0,155.0,110.0,110.0,115.0,0.00322
200.0,200.0,205.0,110.0,110.0,115.0,0.212
200.0,200.0,205.0,120.0,120.0,125.0,0.0745
200.0,200.0,205.0,130.0,130.0,135.0,0.0284
200.0,200.0,205.0,140.0,140.0,145.0,0.0221
200.0,200.0,205.0,160.0,160.0,165.0,0.00202
250.0,250.0,255.0,170.0,170.0,175.0,0.0551
250.0,250.0,255.0,190.0,190.0,195.0,0.00894
300.0,300.0,305.0,220.0,220.0,225.0,0.0669
300.0,300.0,305.0,240.0,240.0,245.0,0.0105
350.0,350.0,355.0,270.0,270.0,275.0,0.0689
350.0,350.0,355.0,290.0,290.0,295.0,0.0111

