#: table_doi: 10.17182/hepdata.81996.v1/t66
#: name: Table 66
#: description: Signal efficiency for WZ production in SR3-WZ-1Jb for the process P P -> $\widetilde{\chi}_1^\pm \widetilde{\chi}_2^0$ -> $W$(->l $\nu$) $Z$(->2l) $\widetilde{\chi}_1^0 \widetilde{\chi}_1^0$.
#: data_file: figaux27d.yaml
#: data_license:   
#: keyword reactions: P P --> Neutralino2 Chargino1
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,,,,,P P --> Neutralino2 Chargino1 --> W Z Neutralino1 Neutralino1
#: SQRT(S) [GEV],,,,,13000.0
$m(\widetilde{\chi}_2^0/\widetilde{\chi}_1^\pm)$,$m(\widetilde{\chi}_2^0/\widetilde{\chi}_1^\pm)$ LOW,$m(\widetilde{\chi}_2^0/\widetilde{\chi}_1^\pm)$ HIGH,$m(\widetilde{\chi}_1^0)$,$m(\widetilde{\chi}_1^0)$ LOW,$m(\widetilde{\chi}_1^0)$ HIGH,Signal Efficiency [%],error +,error -
75.0,50.0,100.0,25.0,0.0,50.0,0.0,0.0,-0.0
125.0,100.0,150.0,25.0,0.0,50.0,0.0,0.0,-0.0
175.0,150.0,200.0,25.0,0.0,50.0,0.0,0.0,-0.0
225.0,200.0,250.0,25.0,0.0,50.0,0.0,0.0,-0.0
275.0,250.0,300.0,25.0,0.0,50.0,0.0,0.0,-0.0
325.0,300.0,350.0,25.0,0.0,50.0,0.0,0.0,-0.0
375.0,350.0,400.0,25.0,0.0,50.0,69.94,0.0,-0.0
425.0,400.0,450.0,25.0,0.0,50.0,85.01,0.0,-0.0
475.0,450.0,500.0,25.0,0.0,50.0,0.0,0.0,-0.0
525.0,500.0,550.0,25.0,0.0,50.0,80.89,0.0,-0.0
575.0,550.0,600.0,25.0,0.0,50.0,76.03,0.0,-0.0
625.0,600.0,650.0,25.0,0.0,50.0,73.61,0.0,-0.0
675.0,650.0,700.0,25.0,0.0,50.0,0.0,0.0,-0.0
725.0,700.0,750.0,25.0,0.0,50.0,58.96,0.0,-0.0
75.0,50.0,100.0,75.0,50.0,100.0,0.0,0.0,-0.0
125.0,100.0,150.0,75.0,50.0,100.0,0.0,0.0,-0.0
175.0,150.0,200.0,75.0,50.0,100.0,67.5,0.0,-0.0
225.0,200.0,250.0,75.0,50.0,100.0,0.0,0.0,-0.0
275.0,250.0,300.0,75.0,50.0,100.0,77.63,0.0,-0.0
325.0,300.0,350.0,75.0,50.0,100.0,0.0,0.0,-0.0
375.0,350.0,400.0,75.0,50.0,100.0,98.87,0.0,-0.0
425.0,400.0,450.0,75.0,50.0,100.0,0.0,0.0,-0.0
475.0,450.0,500.0,75.0,50.0,100.0,62.06,0.0,-0.0
525.0,500.0,550.0,75.0,50.0,100.0,62.8,0.0,-0.0
575.0,550.0,600.0,75.0,50.0,100.0,88.98,0.0,-0.0
625.0,600.0,650.0,75.0,50.0,100.0,63.18,0.0,-0.0
675.0,650.0,700.0,75.0,50.0,100.0,75.18,0.0,-0.0
725.0,700.0,750.0,75.0,50.0,100.0,0.0,0.0,-0.0
75.0,50.0,100.0,125.0,100.0,150.0,0.0,0.0,-0.0
125.0,100.0,150.0,125.0,100.0,150.0,0.0,0.0,-0.0
175.0,150.0,200.0,125.0,100.0,150.0,0.0,0.0,-0.0
225.0,200.0,250.0,125.0,100.0,150.0,76.23,0.0,-0.0
275.0,250.0,300.0,125.0,100.0,150.0,70.4,0.0,-0.0
325.0,300.0,350.0,125.0,100.0,150.0,0.0,0.0,-0.0
375.0,350.0,400.0,125.0,100.0,150.0,65.88,0.0,-0.0
425.0,400.0,450.0,125.0,100.0,150.0,69.93,0.0,-0.0
475.0,450.0,500.0,125.0,100.0,150.0,0.0,0.0,-0.0
525.0,500.0,550.0,125.0,100.0,150.0,76.77,0.0,-0.0
575.0,550.0,600.0,125.0,100.0,150.0,68.32,0.0,-0.0
625.0,600.0,650.0,125.0,100.0,150.0,65.35,0.0,-0.0
675.0,650.0,700.0,125.0,100.0,150.0,0.0,0.0,-0.0
725.0,700.0,750.0,125.0,100.0,150.0,77.65,0.0,-0.0
75.0,50.0,100.0,175.0,150.0,200.0,0.0,0.0,-0.0
