#: table_doi: 10.17182/hepdata.81996.v1/t42
#: name: Table 42
#: description: Signal efficiency for C1N2 production in SR2-low for the process P P -> $\widetilde{\chi}_1^\pm \widetilde{\chi}_2^0$ -> $W$(->2j) $Z$(->2l) $\widetilde{\chi}_1^0 \widetilde{\chi}_1^0$.
#: data_file: figaux23b.yaml
#: data_license:   
#: keyword reactions: P P --> Neutralino2 Chargino1
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,,,,,P P --> Neutralino2 Chargino1 --> W Z Neutralino1 Neutralino1
#: SQRT(S) [GEV],,,,,13000.0
$m(\widetilde{\chi}_2^0/\widetilde{\chi}_1^\pm)$,$m(\widetilde{\chi}_2^0/\widetilde{\chi}_1^\pm)$ LOW,$m(\widetilde{\chi}_2^0/\widetilde{\chi}_1^\pm)$ HIGH,$m(\widetilde{\chi}_1^0)$,$m(\widetilde{\chi}_1^0)$ LOW,$m(\widetilde{\chi}_1^0)$ HIGH,Signal Efficiency [%],error +,error -
125.0,100.0,150.0,25.0,0.0,50.0,0.0,0.0,-0.0
175.0,150.0,200.0,25.0,0.0,50.0,0.0,0.0,-0.0
225.0,200.0,250.0,25.0,0.0,50.0,0.0,0.0,-0.0
275.0,250.0,300.0,25.0,0.0,50.0,0.0,0.0,-0.0
325.0,300.0,350.0,25.0,0.0,50.0,0.0,0.0,-0.0
375.0,350.0,400.0,25.0,0.0,50.0,37.93,0.0,-0.0
425.0,400.0,450.0,25.0,0.0,50.0,49.24,0.0,-0.0
475.0,450.0,500.0,25.0,0.0,50.0,0.0,0.0,-0.0
525.0,500.0,550.0,25.0,0.0,50.0,29.75,0.0,-0.0
575.0,550.0,600.0,25.0,0.0,50.0,40.94,0.0,-0.0
625.0,600.0,650.0,25.0,0.0,50.0,0.0,0.0,-0.0
675.0,650.0,700.0,25.0,0.0,50.0,0.0,0.0,-0.0
725.0,700.0,750.0,25.0,0.0,50.0,90.19,0.0,-0.0
775.0,750.0,800.0,25.0,0.0,50.0,0.0,0.0,-0.0
125.0,100.0,150.0,75.0,50.0,100.0,0.0,0.0,-0.0
175.0,150.0,200.0,75.0,50.0,100.0,61.66,0.0,-0.0
225.0,200.0,250.0,75.0,50.0,100.0,0.0,0.0,-0.0
275.0,250.0,300.0,75.0,50.0,100.0,44.54,0.0,-0.0
325.0,300.0,350.0,75.0,50.0,100.0,0.0,0.0,-0.0
375.0,350.0,400.0,75.0,50.0,100.0,64.97,0.0,-0.0
425.0,400.0,450.0,75.0,50.0,100.0,0.0,0.0,-0.0
475.0,450.0,500.0,75.0,50.0,100.0,91.49,0.0,-0.0
525.0,500.0,550.0,75.0,50.0,100.0,60.24,0.0,-0.0
575.0,550.0,600.0,75.0,50.0,100.0,34.26,0.0,-0.0
625.0,600.0,650.0,75.0,50.0,100.0,0.0,0.0,-0.0
675.0,650.0,700.0,75.0,50.0,100.0,57.19,0.0,-0.0
725.0,700.0,750.0,75.0,50.0,100.0,0.0,0.0,-0.0
775.0,750.0,800.0,75.0,50.0,100.0,0.0,0.0,-0.0
125.0,100.0,150.0,125.0,100.0,150.0,0.0,0.0,-0.0
175.0,150.0,200.0,125.0,100.0,150.0,0.0,0.0,-0.0
225.0,200.0,250.0,125.0,100.0,150.0,67.03,0.0,-0.0
275.0,250.0,300.0,125.0,100.0,150.0,68.65,0.0,-0.0
325.0,300.0,350.0,125.0,100.0,150.0,30.9,0.0,-0.0
375.0,350.0,400.0,125.0,100.0,150.0,37.88,0.0,-0.0
425.0,400.0,450.0,125.0,100.0,150.0,47.98 0.0,0.0,-0.0
475.0,450.0,500.0,125.0,100.0,150.0,0.0,0.0,-0.0
525.0,500.0,550.0,125.0,100.0,150.0,56.12,0.0,-0.0
575.0,550.0,600.0,125.0,100.0,150.0,156.2,0.0,-0.0
625.0,600.0,650.0,125.0,100.0,150.0,66.06,0.0,-0.0
675.0,650.0,700.0,125.0,100.0,150.0,0.0,0.0,-0.0
725.0,700.0,750.0,125.0,100.0,150.0,38.26,0.0,-0.0
775.0,750.0,800.0,125.0,100.0,150.0,0.0,0.0,-0.0
125.0,100.0,150.0,175.0,150.0,200.0,0.0,0.0,-0.0
175.0,150.0,200.0,175.0,150.0,200.0,0.0,0.0,-0.0
225.0,200.0,250.0,175.0,150.0,200.0,0.0,0.0,-0.0
275.0,250.0,300.0,175.0,150.0,200.0,41.22,0.0,-0.0
325.0,300.0,350.0,175.0,150.0,200.0,87.02,0.0,-0.0
375.0,350.0,400.0,175.0,150.0,200.0,40.82,0.0,-0.0
425.0,400.0,450.0,175.0,150.0,200.0,0.0,0.0,-0.0
475.0,450.0,500.0,175.0,150.0,200.0,51.15,0.0,-0.0
525.0,500.0,550.0,175.0,150.0,200.0,48.41,0.0,-0.0
575.0,550.0,600.0,175.0,150.0,200.0,33.94,0.0,-0.0
625.0,600.0,650.0,175.0,150.0,200.0,51.03,0.0,-0.0
675.0,650.0,700.0,175.0,150.0,200.0,59.56,0.0,-0.0
725.0,700.0,750.0,175.0,150.0,200.0,0.0,0.0,-0.0
775.0,750.0,800.0,175.0,150.0,200.0,0.0,0.0,-0.0
125.0,100.0,150.0,225.0,200.0,250.0,0.0,0.0,-0.0
175.0,150.0,200.0,225.0,200.0,250.0,0.0,0.0,-0.0
225.0,200.0,250.0,225.0,200.0,250.0,0.0,0.0,-0.0
275.0,250.0,300.0,225.0,200.0,250.0,0.0,0.0,-0.0
325.0,300.0,350.0,225.0,200.0,250.0,47.63,0.0,-0.0
375.0,350.0,400.0,225.0,200.0,250.0,38.77,0.0,-0.0
425.0,400.0,450.0,225.0,200.0,250.0,52.08,0.0,-0.0
475.0,450.0,500.0,225.0,200.0,250.0,0.0,0.0,-0.0
525.0,500.0,550.0,225.0,200.0,250.0,57.74,0.0,-0.0
